<CorrectionSettings>
  <RootSensorByLocation>false</RootSensorByLocation>
  <SensorReference>
    <Plate Index="0" Size="96">
      <RefWells />
      <RefLoadWells />
      <RefDetectionWells />
      <ExcludeWells />
    </Plate>
    <GroupRefByPlate>false</GroupRefByPlate>
  </SensorReference>
  <SampleReference>
    <Plate Index="0" Size="96">
      <RefWells>A9, B9, C9, D9, E8, F8, G8, H8</RefWells>
      <RefLoadWells />
      <RefDetectionWells />
      <RefGroup>
        <RefWells>A9</RefWells>
        <RelatedWells>A1, A2, A4, A6, A7, A8</RelatedWells>
      </RefGroup>
      <RefGroup>
        <RefWells>B9</RefWells>
        <RelatedWells>B1, B2, B4, B6, B7, B8</RelatedWells>
      </RefGroup>
      <RefGroup>
        <RefWells>C9</RefWells>
        <RelatedWells>C1, C2, C4, C6, C7, C8</RelatedWells>
      </RefGroup>
      <RefGroup>
        <RefWells>D9</RefWells>
        <RelatedWells>D1, D2, D4, D6, D7, D8</RelatedWells>
      </RefGroup>
      <RefGroup>
        <RefWells>E8</RefWells>
        <RelatedWells>E1, E2, E4, E6, E7, E9</RelatedWells>
      </RefGroup>
      <RefGroup>
        <RefWells>F8</RefWells>
        <RelatedWells>F1, F2, F4, F6, F7, F9</RelatedWells>
      </RefGroup>
      <RefGroup>
        <RefWells>G8</RefWells>
        <RelatedWells>G1, G2, G4, G6, G7, G9</RelatedWells>
      </RefGroup>
      <RefGroup>
        <RefWells>H8</RefWells>
        <RelatedWells>H1, H2, H4, H6, H7, H9</RelatedWells>
      </RefGroup>
      <ExcludeWells />
    </Plate>
    <GroupRefByPlate>false</GroupRefByPlate>
  </SampleReference>
  <AlignmentSettings>
    <AlignYCorrection>AverageBaseline</AlignYCorrection>
    <AlignYStart>300</AlignYStart>
    <AlignYEnd>350.4</AlignYEnd>
    <InterstepCorrection>Association</InterstepCorrection>
    <InterstepCorrectionTime>5</InterstepCorrectionTime>
    <SavitzkyGolayFilter>true</SavitzkyGolayFilter>
  </AlignmentSettings>
</CorrectionSettings>
 Data Alignment: None
 Data Alignment Step: 0
t1A2c1, t1A2c1, t1A2c2, t1A2c2, t1A2c3, t1A2c3, t1A2c4, t1A2c4, t1A2c6, t1A2c6, t1B2c1, t1B2c1, t1B2c2, t1B2c2, t1B2c3, t1B2c3, t1B2c4, t1B2c4, t1B2c6, t1B2c6, t1C2c1, t1C2c1, t1C2c2, t1C2c2, t1C2c3, t1C2c3, t1C2c4, t1C2c4, t1C2c6, t1C2c6, t1D2c1, t1D2c1, t1D2c2, t1D2c2, t1D2c3, t1D2c3, t1D2c4, t1D2c4, t1D2c6, t1D2c6, t1E2c1, t1E2c1, t1E2c2, t1E2c2, t1E2c3, t1E2c3, t1E2c5, t1E2c5, t1E2c6, t1E2c6, t1F2c1, t1F2c1, t1F2c2, t1F2c2, t1F2c3, t1F2c3, t1F2c5, t1F2c5, t1F2c6, t1F2c6, t1G2c1, t1G2c1, t1G2c2, t1G2c2, t1G2c3, t1G2c3, t1G2c5, t1G2c5, t1G2c6, t1G2c6, t1H2c1, t1H2c1, t1H2c2, t1H2c2, t1H2c3, t1H2c3, t1H2c5, t1H2c5, t1H2c6, t1H2c6, 
Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, 
p1A6, TnIC, p1A6, TnIC, p1A7, TnIC, p1A8, TnIC, p1A6, TnIC, p1B6, TnIC, p1B6, TnIC, p1B7, TnIC, p1B8, TnIC, p1B6, TnIC, p1C6, TnIC, p1C6, TnIC, p1C7, TnIC, p1C8, TnIC, p1C6, TnIC, p1D6, TnIC, p1D6, TnIC, p1D7, TnIC, p1D8, TnIC, p1D6, TnIC, p1E6, TnIC, p1E6, TnIC, p1E7, TnIC, p1E9, TnIC, p1E6, TnIC, p1F6, TnIC, p1F6, TnIC, p1F7, TnIC, p1F9, TnIC, p1F6, TnIC, p1G6, TnIC, p1G6, TnIC, p1G7, TnIC, p1G9, TnIC, p1G6, TnIC, p1H6, TnIC, p1H6, TnIC, p1H7, TnIC, p1H9, TnIC, p1H6, TnIC, 
X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, 
1220.20, 0.01525811, 2888.00, -0.00137675, 4568.99, 0.0050473, 6231.02, -0.0040285, 9566.46, -0.00220566, 1220.20, 0.00326294, 2888.00, -0.02809587, 4568.99, -0.01519047, 6231.02, -0.00661086, 9566.46, -0.0298393, 1220.20, -0.01051037, 2888.00, -0.02844372, 4568.99, -0.01990818, 6231.02, -0.01533072, 9566.46, -0.0260969, 1220.20, -0.00896079, 2888.00, -0.0285181, 4568.99, -0.0134964, 6231.02, -0.01338408, 9566.46, -0.0296568, 1220.20, 0.00894081, 2888.00, -0.01681913, 4568.99, 0.01106198, 7898.90, 0.03955501, 9566.46, -0.02524222, 1220.20, 0.02448141, 2888.00, -0.00035613, 4568.99, 0.014485, 7898.90, 0.03818739, 9566.46, -0.00218145, 1220.20, 0.01003658, 2888.00, -0.02309044, 4568.99, 0.00934855, 7898.90, 0.01657382, 9566.46, -0.01922904, 1220.20, 0.01257293, 2888.00, -0.00949372, 4568.99, 0.00150081, 7898.90, 0.00642554, 9566.46, -0.00191902, 
1220.40, 0.01397779, 2888.20, -0.0034493, 4569.19, 0.00465581, 6231.22, -0.00738749, 9566.66, -0.00574704, 1220.40, 0.00050323, 2888.20, -0.03049556, 4569.19, -0.01830862, 6231.22, -0.0061263, 9566.66, -0.03238775, 1220.40, -0.01283263, 2888.20, -0.03083654, 4569.19, -0.02261154, 6231.22, -0.01571257, 9566.66, -0.02853926, 1220.40, -0.01244157, 2888.20, -0.03125964, 4569.19, -0.01472849, 6231.22, -0.01541689, 9566.66, -0.03292401, 1220.40, 0.00627341, 2888.20, -0.01938582, 4569.19, 0.01195955, 7899.10, 0.04438324, 9566.66, -0.02845091, 1220.40, 0.02384641, 2888.20, -0.00107606, 4569.19, 0.0145629, 7899.10, 0.04131579, 9566.66, -0.00230396, 1220.40, 0.00839909, 2888.20, -0.02352521, 4569.19, 0.00882774, 7899.10, 0.018149, 9566.66, -0.02257649, 1220.40, 0.01334106, 2888.20, -0.00794974, 4569.19, 0.00271055, 7899.10, 0.00837393, 9566.66, -0.0018116, 
1220.60, 0.01293091, 2888.40, -0.00544961, 4569.39, 0.00379869, 6231.42, -0.01092505, 9566.86, -0.00928434, 1220.60, -0.00301403, 2888.40, -0.03359573, 4569.39, -0.02169272, 6231.42, -0.00644949, 9566.86, -0.03535223, 1220.60, -0.01520011, 2888.40, -0.03344596, 4569.39, -0.02562824, 6231.42, -0.01628873, 9566.86, -0.03100407, 1220.60, -0.01630388, 2888.40, -0.03456989, 4569.39, -0.01701133, 6231.42, -0.01757234, 9566.86, -0.03647109, 1220.60, 0.00337827, 2888.40, -0.02201977, 4569.39, 0.01303042, 7899.30, 0.05005473, 9566.86, -0.03162217, 1220.60, 0.02319041, 2888.40, -0.00148633, 4569.39, 0.01495443, 7899.30, 0.04466075, 9566.86, -0.0022461, 1220.60, 0.00611719, 2888.40, -0.02392632, 4569.39, 0.00841689, 7899.30, 0.01994154, 9566.86, -0.02582404, 1220.60, 0.01411021, 2888.40, -0.00610353, 4569.39, 0.00413043, 7899.30, 0.01061447, 9566.86, -0.00145969, 
1220.80, 0.0119996, 2888.60, -0.00759247, 4569.59, 0.00305331, 6231.62, -0.01406335, 9567.06, -0.01272958, 1220.80, -0.00627095, 2888.60, -0.03650403, 4569.59, -0.02480052, 6231.62, -0.00631563, 9567.06, -0.03873471, 1220.80, -0.01744586, 2888.60, -0.03580975, 4569.59, -0.02850802, 6231.62, -0.01694798, 9567.06, -0.03329752, 1220.80, -0.02039428, 2888.60, -0.03758927, 4569.59, -0.01946292, 6231.62, -0.01972728, 9567.06, -0.04013774, 1220.80, 0.00030706, 2888.60, -0.02493499, 4569.59, 0.01377674, 7899.50, 0.05524377, 9567.06, -0.03501584, 1220.80, 0.02254536, 2888.60, -0.00180515, 4569.59, 0.01520931, 7899.50, 0.04821539, 9567.06, -0.00227865, 1220.80, 0.00400724, 2888.60, -0.02453194, 4569.59, 0.00807318, 7899.50, 0.02219233, 9567.06, -0.02920454, 1220.80, 0.0148636, 2888.60, -0.00449821, 4569.59, 0.00536248, 7899.50, 0.01302969, 9567.06, -0.0008727, 
1221.00, 0.01101063, 2888.80, -0.00949444, 4569.79, 0.00283569, 6231.82, -0.01759248, 9567.26, -0.01596737, 1221.00, -0.00900616, 2888.80, -0.03897856, 4569.79, -0.02763414, 6231.82, -0.00593313, 9567.26, -0.04129875, 1221.00, -0.01945005, 2888.80, -0.03824354, 4569.79, -0.03131731, 6231.82, -0.01767188, 9567.26, -0.03543868, 1221.00, -0.02375144, 2888.80, -0.04033831, 4569.79, -0.02126593, 6231.82, -0.02139752, 9567.26, -0.04303513, 1221.00, -0.00255961, 2888.80, -0.02795498, 4569.79, 0.01443173, 7899.70, 0.06063924, 9567.26, -0.03838197, 1221.00, 0.02195576, 2888.80, -0.00222708, 4569.79, 0.01573816, 7899.70, 0.05209289, 9567.26, -0.00213241, 1221.00, 0.00152435, 2888.80, -0.02536814, 4569.79, 0.00741838, 7899.70, 0.02403496, 9567.26, -0.0329563, 1221.00, 0.01529725, 2888.80, -0.00307759, 4569.79, 0.00642384, 7899.70, 0.01527992, 9567.26, -0.00036081, 
1221.20, 0.01034632, 2889.00, -0.0109075, 4569.99, 0.00225253, 6232.02, -0.02048332, 9567.46, -0.01890849, 1221.20, -0.01197107, 2889.00, -0.04137841, 4569.99, -0.03034722, 6232.02, -0.00567724, 9567.46, -0.04339641, 1221.20, -0.02147886, 2889.00, -0.04043901, 4569.99, -0.03438677, 6232.02, -0.01871623, 9567.46, -0.03779745, 1221.20, -0.0270449, 2889.00, -0.04326028, 4569.99, -0.02304224, 6232.02, -0.02288235, 9567.46, -0.04593942, 1221.20, -0.00540217, 2889.00, -0.03059421, 4569.99, 0.01485768, 7899.90, 0.06567978, 9567.46, -0.04179248, 1221.20, 0.02123195, 2889.00, -0.00231762, 4569.99, 0.01634366, 7899.90, 0.0558244, 9567.46, -0.00231328, 1221.20, -0.00027344, 2889.00, -0.02599394, 4569.99, 0.0072686, 7899.90, 0.02619954, 9567.46, -0.03644209, 1221.20, 0.01587334, 2889.00, -0.00185883, 4569.99, 0.0072872, 7899.90, 0.01745143, 9567.46, 0.00005262, 
1221.40, 0.01001437, 2889.20, -0.01197897, 4570.19, 0.00198446, 6232.22, -0.02288653, 9567.66, -0.02132818, 1221.40, -0.01472927, 2889.20, -0.04376301, 4570.19, -0.03309119, 6232.22, -0.00569694, 9567.66, -0.04527214, 1221.40, -0.02273777, 2889.20, -0.04203844, 4570.19, -0.0367554, 6232.22, -0.01896281, 9567.66, -0.0391737, 1221.40, -0.02982509, 2889.20, -0.04554211, 4570.19, -0.0250421, 6232.22, -0.02439167, 9567.66, -0.04870686, 1221.40, -0.00791348, 2889.20, -0.03292612, 4570.19, 0.01528987, 7900.10, 0.07066818, 9567.66, -0.04511435, 1221.40, 0.02053569, 2889.20, -0.00266004, 4570.19, 0.01661893, 7900.10, 0.05945782, 9567.66, -0.00224244, 1221.40, -0.00183182, 2889.20, -0.02621423, 4570.19, 0.00750624, 7900.10, 0.02853246, 9567.66, -0.03905568, 1221.40, 0.01613922, 2889.20, -0.00048005, 4570.19, 0.0079041, 7900.10, 0.01921815, 9567.66, 0.00049723, 
